                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.65086,                 1.0475,                 1.2765,                0.63842,                0.93689,                0.70312,                0.55739,                0.67755,                0.76558,                 1.0848,             0.00025131,             0.00025131,             0.00025131
                     36,                0.64568,                 1.0596,                  1.271,                0.65132,                0.95086,                0.70311,                0.57067,                0.61448,                0.75359,                  1.045,             0.00023608,             0.00023608,             0.00023608
                     37,                0.63066,                 1.0308,                 1.2568,                0.66446,                 0.8885,                0.71395,                0.57652,                 0.6345,                0.74889,                 1.0512,             0.00022086,             0.00022086,             0.00022086
                     38,                0.62107,                 1.0267,                 1.2529,                0.65629,                0.92153,                0.70723,                0.58023,                0.59905,                0.73982,                 1.0207,             0.00020563,             0.00020563,             0.00020563
                     39,                0.62382,                 1.0111,                 1.2567,                0.63472,                 0.9273,                0.71179,                0.57835,                0.61146,                0.72712,                 1.0318,              0.0001904,              0.0001904,              0.0001904
                     40,                0.60845,                 1.0016,                 1.2424,                0.64787,                0.92539,                0.71115,                0.57971,                0.59657,                0.72097,                 1.0285,             0.00017518,             0.00017518,             0.00017518
                     41,                 0.4597,                0.73299,                 1.1537,                0.65257,                0.87995,                0.70128,                0.56703,                0.61067,                0.74266,                 1.0263,             0.00015995,             0.00015995,             0.00015995
                     42,                0.44859,                0.71199,                 1.1348,                0.66194,                0.92063,                 0.7097,                0.57681,                0.64159,                0.75084,                 1.0513,             0.00014473,             0.00014473,             0.00014473
                     43,                0.43743,                0.70964,                 1.1361,                 0.6563,                0.95326,                0.70614,                0.58324,                0.60588,                 0.7575,                  1.033,              0.0001295,              0.0001295,              0.0001295
                     44,                0.43498,                0.69655,                 1.1296,                 0.6551,                0.90022,                0.70445,                0.58193,                 0.6173,                0.73937,                 1.0267,             0.00011427,             0.00011427,             0.00011427
                     45,                0.42173,                0.68506,                 1.1152,                0.66619,                0.86612,                0.71643,                0.58868,                0.61101,                 0.7368,                 1.0393,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     46,                0.40827,                 0.6728,                 1.1089,                0.65759,                0.91595,                 0.7133,                0.58766,                0.59543,                0.72528,                 1.0192,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     47,                0.39898,                0.66168,                 1.0971,                 0.6625,                0.93351,                 0.7148,                0.59625,                0.58785,                0.72494,                  1.018,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     48,                0.40047,                 0.6611,                  1.099,                0.65515,                0.94247,                0.72054,                0.60366,                 0.5726,                0.71702,                 1.0019,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     49,                0.39831,                0.65596,                 1.0864,                 0.6709,                0.90231,                0.72304,                0.60667,                0.55366,                 0.7201,                0.98835,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     50,                0.39268,                0.64866,                 1.0858,                0.66481,                 0.9078,                0.72321,                0.60948,                0.55011,                0.71566,                0.98655,             2.2916e-05,             2.2916e-05,             2.2916e-05
